lname,fname,handle_part,state,district,X115.St.Dis,Party,Replaced,stateabb,dist
Latta,Robert,boblatta,,NA,OH05,R,,OH,5
Lawson,Al,RepAlLawsonJr,,NA,FL05,D,,FL,5
Lee,Barbara,RepBarbaraLee,,NA,CA13,D,,CA,13
Levin,Sander,repsandylevin,,NA,MI09,D,,MI,9
Lewis,Jason,RepJasonLewis,,NA,MN02,R,,MN,2
Lewis,John,repjohnlewis,,NA,GA05,D,,GA,5
Lieu,Ted,RepTedLieu,,NA,CA33,D,,CA,33
Loebsack,David,daveloebsack,,NA,IA02,D,,IA,2
Lofgren,Zoe,RepZoeLofgren,,NA,CA19,D,,CA,19
Love,Mia,RepMiaLove,,NA,UT04,R,,UT,4
Lowey,Nita,NitaLowey,,NA,NY17,D,,NY,17
Lucas,Frank,RepFrankLucas,,NA,OK03,R,,OK,3
Lujan Grisham,Michelle,RepLujanGrisham,,NA,NM01,D,,NM,1
Lynch,Stephen,RepStephenLynch,,NA,MA08,D,,MA,8
MacArthur,Thomas,RepTomMacArthur,,NA,NJ03,R,,NJ,3
Maloney,Sean,RepSeanMaloney,,NA,NY18,D,,NY,18
Marchant,Kenny,RepKenMarchant,,NA,TX24,R,,TX,24
Marino,Tom,RepTomMarino,,NA,PA10,R,,PA,10
Marshall,Roger,RogerMarshallMD,,NA,KS01,R,,KS,1
Massie,Thomas,RepThomasMassie,,NA,KY04,R,,KY,4
Mast,Brian,RepBrianMast,,NA,FL18,R,,FL,18
Matsui,Doris,DorisMatsui,,NA,CA06,D,,CA,6
McCollum,Betty,BettyMcCollum,,NA,MN04,D,,MN,4
McHenry,Patrick,PatrickMcHenry,,NA,NC10,R,,NC,10
McMorris Rodgers,Cathy,cathymcmorris,,NA,WA05,R,,WA,5
Meadows,Mark,RepMarkMeadows,,NA,NC11,R,,NC,11
Meeks,Gregory,GregoryMeeks,,NA,NY05,D,,NY,5
Meng,Grace,RepGraceMeng,,NA,NY06,D,,NY,6
Messer,Luke,RepLukeMesser,,NA,IN06,R,,IN,6
Mitchell,Paul,RepPaulMitchell,,NA,MI10,R,,MI,10
Mooney,Alexander,RepAlexMooney,,NA,WV02,R,,WV,2
Moore,Gwen,RepGwenMoore,,NA,WI04,D,,WI,4
Moulton,Seth,teammoulton,Massachusetts,NA,MA06,D,,MA,6
Murphy,Stephanie,RepStephMurphy,,NA,FL07,D,,FL,7
Nadler,Jerrold,RepJerryNadler,,NA,NY10,D,,NY,10
Napolitano,Grace,gracenapolitano,,NA,CA32,D,,CA,32
Neal,Richard,RepRichardNeal,,NA,MA01,D,,MA,1
Noem,Kristi,RepKristiNoem,,NA,SD00,R,,SD,0
Nolan,Richard,USRepRickNolan,,NA,MN08,D,,MN,8
Norcross,Donald,DonaldNorcross,,NA,NJ01,D,,NJ,1
Norton,Eleanor,EleanorNorton,,NA,DC00,D,,DC,0
O'Rourke,Beto,RepBetoORourke,,NA,TX16,D,,TX,16
Olson,Pete,RepPeteOlson,,NA,TX22,R,,TX,22
Pallone,Frank,FrankPallone,,NA,NJ06,D,,NJ,6
Palmer,Gary,USRepGaryPalmer,,NA,AL06,R,,AL,6
Panetta,Jimmy,RepJimmyPanetta,,NA,CA20,D,,CA,20
Pascrell,Bill,BillPascrell,,NA,NJ09,D,,NJ,9
Paulsen,Erik,RepErikPaulsen,,NA,MN03,R,,MN,3
Payne,Donald,RepDonaldPayne,,NA,NJ10,D,,NJ,10
Pelosi,Nancy,NancyPelosi,,NA,CA12,D,,CA,12
Perry,Scott,RepScottPerry,,NA,PA04,R,,PA,4
Peters,Scott,RepScottPeters,,NA,CA52,D,,CA,52
Pingree,Chellie,chelliepingree,,NA,ME01,D,,ME,1
Plaskett,Stacey,StaceyPlaskett,,NA,VI00,D,,VI,0
Pocan,Mark,repmarkpocan,,NA,WI02,D,,WI,2
Polis,Jared,RepJaredPolis,,NA,CO02,D,,CO,2
Posey,Bill,congbillposey,,NA,FL08,R,,FL,8
Price,David,RepDavidEPrice,,NA,NC04,D,,NC,4
Quigley,Mike,RepMikeQuigley,,NA,IL05,D,,IL,5
Reed,Tom,RepTomReed,,NA,NY23,R,,NY,23
Reichert,David,davereichert,,NA,WA08,R,,WA,8
Renacci,James,RepJimRenacci,,NA,OH16,R,,OH,16
Rice,Kathleen,RepKathleenRice,,NA,NY04,D,,NY,4
Rice,Tom,RepTomRice,,NA,SC07,R,,SC,7
Roby,Martha,RepMarthaRoby,,NA,AL02,R,,AL,2
Roe,David,DrPhilRoe,,NA,TN01,R,,TN,1
Rogers,Harold,RepHalRogers,,NA,KY05,R,,KY,5
Rogers,Mike,RepMikeRogersAL,,NA,AL03,R,,AL,3
Rohrabacher,Dana,DanaRohrabacher,,NA,CA48,R,,CA,48
Rokita,Todd,ToddRokita,,NA,IN04,R,,IN,4
Rooney,Thomas,TomRooney,,NA,FL17,R,,FL,17
Rosen,Jacky,RepJackyRosen,,NA,NV03,D,,NV,3
Roskam,Peter,PeterRoskam,,NA,IL06,R,,IL,6
Ross,Dennis,RepDennisRoss,,NA,FL15,R,,FL,15
Rothfus,Keith,KeithRothfus,,NA,PA12,R,,PA,12
Rouzer,David,DavidRouzer,,NA,NC07,R,,NC,7
Roybal-Allard,Lucille,RepRoybalAllard,,NA,CA40,D,,CA,40
Royce,Edward,RepEdRoyce,,NA,CA39,R,,CA,39
Rush,Bobby,RepBobbyRush,,NA,IL01,D,,IL,1
Ryan,Paul,SpeakerRyan,,NA,WI01,R,,WI,1
Ryan,Tim,RepTimRyan,,NA,OH13,D,,OH,13
Sánchez,Linda,RepLindaSanchez,,NA,CA38,D,,CA,38
Schiff,Adam,RepAdamSchiff,,NA,CA28,D,,CA,28
Scott,Austin,AustinScottGA,,NA,GA08,R,,GA,8
Scott,David,repdavidscott,,NA,GA13,D,,GA,13
Scott,Robert,BobbyScott,,NA,VA03,D,,VA,3
Serrano,José,RepJoseSerrano,,NA,NY15,D,,NY,15
Sessions,Pete,PeteSessions,,NA,TX32,R,,TX,32
Sewell,Terri,RepTerriSewell,,NA,AL07,D,,AL,7
Shea-Porter,Carol,RepSheaPorter,,NA,NH01,D,,NH,1
Sherman,Brad,BradSherman,,NA,CA30,D,,CA,30
Shuster,Bill,RepBillShuster,,NA,PA09,R,,PA,9
Simpson,Michael,CongMikeSimpson,,NA,ID02,R,,ID,2
Slaughter,Louise,louiseslaughter,,NA,NY25,,,NY,25
Smith,Adam,RepAdamSmith,,NA,WA09,D,,WA,9
Smith,Adrian,RepAdrianSmith,,NA,NE03,R,,NE,3
Smith,Christopher,RepChrisSmith,,NA,NJ04,R,,NJ,4
Smith,Jason,RepJasonSmith,,NA,MO08,R,,MO,8
Smith,Lamar,LamarSmithTX,Texas,NA,TX21,R,,TX,21
Soto,Darren,RepDarrenSoto,,NA,FL09,D,,FL,9
Stewart,Chris,RepChrisStewart,,NA,UT02,R,,UT,2
Stivers,Steve,RepSteveStivers,,NA,OH15,R,,OH,15
Suozzi,Thomas,RepTomSuozzi,,NA,NY03,D,,NY,3
Swalwell,Eric,RepSwalwell,,NA,CA15,D,,CA,15
Takano,Mark,RepMarkTakano,,NA,CA41,D,,CA,41
Thompson,Bennie,BennieGThompson,,NA,MS02,D,,MS,2
Tiberi,Pat,PatTiberi,,NA,OH12,R,Troy Balderson,OH,12
Tonko,Paul,RepPaulTonko,,NA,NY20,D,,NY,20
Torres,Norma,NormaJTorres,,NA,CA35,D,,CA,35
Trott,David,repdavetrott,,NA,MI11,R,,MI,11
Turner,Michael,RepMikeTurner,,NA,OH10,R,,OH,10
Upton,Fred,RepFredUpton,,NA,MI06,R,,MI,6
Valadao,David,RepDavidValadao,,NA,CA21,R,,CA,21
