,Date,Title,Organization,City,State,URL,Hate Incident,New Incident,Day of Incident,Month of Incident,Year of Incident,Violent,Num Victims,Num Perp,Num Deaths,Issue Identity,Incident City,Incident State,Incident Type,Inc Intensity,Notes
1386,5/11/2017,"White man accosts Arab family at Texas beach, shouts ""Donald Trump will stop you!""",Mic,New York,NY,https://mic.com/articles/176877/white-man-accosts-arab-family-at-texas-beach-shouts-donald-trump-will-stop-you,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1387,5/11/2017,Frisco men charged with hate crimes,Dallas Voice,Dallas,TX,http://www.dallasvoice.com/frisco-men-charged-hate-crimes-10236526.html,,,,,,,,,,,,,,,Duplicate story
1388,5/11/2017,Congressman reaches out to RP mom about hate crime,tbrnewsmedia.com,Center Moriches,NY,http://tbrnewsmedia.com/congressman-reaches-out-to-rp-mom-about-hate-crime/,1,0,23,3,2017,0,1,1,na,Religion,Rocky Point,New York,Hate speech,1,
1389,5/11/2017,Indy joins newsrooms nationwide to report on hate with your help,Colorado Springs Independent,Colorado Springs,CO,http://www.csindy.com/TheWire/archives/2017/05/11/indy-joins-newsrooms-nationwide-to-report-on-hate-with-your-help,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1390,5/11/2017,Advocacy Groups to Cable Media Giants: Diversify Morning Political Talk Shows,ColorLines magazine,Oakland,CA,https://www.colorlines.com/articles/advocacy-groups-cable-media-giants-diversify-morning-political-talk-shows,0,na,na,na,na,na,na,na,na,na,na,na,Call to action,na,
1391,5/11/2017,WV strikes a big win for rule of law in hate crime case,Conservative Review,,,https://www.conservativereview.com/articles/wv-strikes-a-big-win-for-rule-of-law-in-hate-crime-case,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1392,5/11/2017,"Senate Holds Hearings on Hate Crimes, But No Muslims Were Invited to Speak",mpac.org,Torrance,CA,https://www.mpac.org/media/senate-holds-hearings-on-hate-crimes-but-no-muslims-were-invited-to-speak.php,,,,,,,,,,,,,,,Url broken
1393,5/11/2017,Is Hate on the Rise in America?,Chicago Tonight | WTTW,Chicago,Illinois,http://chicagotonight.wttw.com/2017/05/11/hate-rise-america,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1394,5/11/2017,Four Frisco men indicting for using Grindr app to beat up gay men,CW33 NewsFix,,,http://cw33.com/2017/05/11/four-frisco-men-indicting-for-using-grindr-app-to-beat-up-gay-men/,,,,,,,,,,,,,,,Duplicate story
1395,5/11/2017,WV rules hate crime law does not cover anti-gay assaults,6abc.com,Philadelphia,PA,http://6abc.com/news/wv-rules-hate-crime-law-does-not-cover-anti-gay-assaults/1982233/,,,,,,,,,,,,,,,Duplicate story
1396,5/11/2017,West Virginia Supreme Court rules anti-gay assaults are not hate crimes,ABC News,,,http://abcnews.go.com/US/west-virginia-supreme-court-rules-anti-gay-assaults/story?id=47352792,,,,,,,,,,,,,,,Duplicate story
1397,5/11/2017,National,houndcountry.com,Ridgway,PA,http://houndcountry.com/national/5ffe94d257a2142f61b1eb29c5855c08,,,,,,,,,,,,,,,Url broken
1398,5/11/2017,927-FM TheDRIVE - Central New York's Best Rock,927thedrive.net,New York,NY,http://927thedrive.net/news/national-news/5ffe94d257a2142f61b1eb29c5855c08,,,,,,,,,,,,,,,Url broken
1399,5/11/2017,This Jewish attorney general is leading the Trump resistance,The Jewish Standard,,,http://jewishstandard.timesofisrael.com/this-jewish-attorney-general-is-leading-the-trump-resistance/,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1400,5/12/2017,Why care about comments on KROC.,votewojcik.org,Rochester,MN,http://www.votewojcik.org/blog/2017/05/11/ostromkroc/,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1401,5/12/2017,West Virginia Supreme Court rules hate crime law doesn't apply to anti-gay attack,New York Daily News,,,http://www.nydailynews.com/news/crime/w-va-court-rules-hate-crime-law-doesn-apply-anti-gay-attack-article-1.3158878,,,,,,,,,,,,,,,Duplicate story
